Abundante,1,1,"necesitan un riego abundante y regular, pero sin encharcamientos"
Medio,1,2,"necesitan un riego moderado y regular, pero sin encharcamientos"
Minimo,1,4,"necesitan un riego minmo y regular, pero sin encharcamientos"
