14,Dia Largo,Requieren más de 14 horas de luz al día para florece
8,Día Corto,Necesitan menos de 12 horas de luz al día para iniciar la floración
0,Día Neutro,Estas plantas no dependen del fotoperiodo para florecer; su floración se desencadena por otros factores como la madurez o la temperatura.
